Date,Open,High,Low,Close,Volume,AdjClose
12/2/16,159,160.289993,158.410004,160.020004,2737400,160.020004
12/1/16,161.949997,162.199997,158.300003,159.820007,4621300,159.820007
11/30/16,163.350006,163.800003,162.210007,162.220001,4319400,162.220001
11/29/16,164,164.410004,163.029999,163.529999,3130200,163.529999
11/28/16,163.199997,164.660004,162.699997,164.520004,4435900,164.520004
11/25/16,161.830002,163.190002,161.830002,163.139999,1605300,163.139999
11/23/16,161.940002,162.380005,161.360001,161.979996,2252700,161.979996
11/22/16,163,163,161.949997,162.669998,2707900,162.669998
11/21/16,160.690002,163,160.369995,162.770004,4601900,162.770004
11/18/16,159.800003,160.720001,159.210007,160.389999,2958700,160.389999
11/17/16,159.220001,159.929993,158.850006,159.800003,2256400,159.800003
11/16/16,158.460007,159.550003,158.029999,159.289993,2244100,159.289993
11/15/16,158.419998,159.149994,157.550003,158.669998,3385600,158.669998
11/14/16,161.25,161.860001,157.580002,158.210007,5180400,158.210007
11/11/16,159.970001,161.339996,159.330002,161.270004,4436400,161.270004
11/10/16,157.660004,161.160004,157.589996,160.220001,7715800,160.220001
11/9/16,152.960007,155.559998,151,154.809998,5386600,154.809998
11/8/16,154.559998,155.929993,153.059998,155.169998,3921900,155.169998
11/7/16,153.990005,156.110001,153.839996,155.720001,3804900,154.320006
11/4/16,152.399994,153.639999,151.869995,152.429993,2470400,151.059576
11/3/16,152.509995,153.740005,151.800003,152.369995,2878800,151.000118
11/2/16,152.479996,153.350006,151.669998,151.949997,3074400,150.583896
11/1/16,153.5,153.910004,151.740005,152.789993,3191900,151.41634
10/31/16,152.759995,154.330002,152.759995,153.690002,3553200,152.308258
10/28/16,154.050003,154.440002,152.179993,152.610001,3654500,151.237965
10/27/16,152.820007,154.059998,152.020004,153.350006,4229300,151.971318
10/26/16,150.710007,152.940002,150.259995,151.809998,2811700,150.445155
10/25/16,150.570007,151.160004,149.830002,150.880005,2647500,149.523523
10/24/16,150.399994,151.520004,150.399994,150.570007,2666700,149.216313
10/21/16,150.580002,151.149994,149.559998,149.630005,4414200,148.284761
10/20/16,151.279999,152.899994,151.020004,151.520004,4023100,150.157769
10/19/16,151.270004,152.449997,150.830002,151.259995,4632900,149.900097
10/18/16,150.020004,151,147.789993,150.720001,12770600,149.364958
10/17/16,154.449997,155.889999,154.339996,154.770004,5890400,153.37855
10/14/16,154.470001,155.529999,154.089996,154.449997,4358200,153.061419
10/13/16,153.699997,154.220001,152.270004,153.720001,2909900,152.337987
10/12/16,154.970001,154.970001,153.080002,154.289993,2964000,152.902854
10/11/16,156.729996,156.949997,153.889999,154.789993,2901300,153.398359
10/10/16,156.710007,158.490005,156.660004,157.020004,2481300,155.608321
10/7/16,157.139999,157.699997,154.860001,155.669998,2671900,154.270452
10/6/16,156.839996,157.429993,155.889999,156.880005,1950100,155.46958
10/5/16,157.070007,157.830002,156.720001,157.080002,1684500,155.667779
10/4/16,157.669998,158.529999,155.820007,156.460007,2884100,155.053358
10/3/16,158.059998,158.369995,157.020004,157.610001,2227800,156.193013
9/30/16,158.899994,159.839996,158.059998,158.850006,3596900,157.42187
9/29/16,158.630005,165,157.460007,158.110001,3374800,156.688518
9/28/16,156.990005,158.630005,156.229996,158.289993,3310000,156.866892
9/27/16,154.320007,156.770004,153.809998,156.770004,2987200,155.360569
9/26/16,154.460007,154.460007,153.460007,153.979996,2533300,152.595644
9/23/16,155.619995,156.039993,154.710007,154.979996,2702200,153.586653
9/22/16,156.149994,157.220001,155.690002,156.110001,2691100,154.706499
9/21/16,154.910004,155.679993,153.869995,155.529999,2473900,154.131712
9/20/16,155.869995,156.570007,154.449997,154.449997,2159100,153.061419
9/19/16,154.869995,156.190002,154.550003,154.869995,2450100,153.477642
9/16/16,155.039993,155.399994,153.470001,153.839996,6463600,152.456903
9/15/16,154.300003,156.330002,153.210007,155.660004,3645600,154.260548
9/14/16,155.699997,155.869995,153.389999,154.050003,3860600,152.665022
9/13/16,157.630005,157.929993,155.5,155.809998,3636700,154.409193
9/12/16,155.259995,158.529999,154.839996,158.289993,4367500,156.866892
9/9/16,158.029999,158.399994,155.649994,155.690002,5186000,154.290277
9/8/16,160.550003,161.210007,158.759995,159,3963200,157.570516
9/7/16,160.190002,161.759995,160,161.639999,2867300,160.18678
9/6/16,159.880005,160.860001,159.110001,160.350006,2994100,158.908385
9/2/16,159.880005,160.570007,159.149994,159.550003,2315400,158.115574
9/1/16,158.320007,159.619995,158.100006,159.539993,2358400,158.105654
8/31/16,159.660004,159.660004,158.259995,158.880005,2323600,157.4516
8/30/16,159.759995,160.149994,158.809998,159.399994,1813300,157.966914
8/29/16,158.830002,160.210007,158.5,159.720001,2475900,158.284044
8/26/16,158.880005,160.440002,157.850006,158.320007,2498900,156.896637
8/25/16,159,159.539993,158.419998,158.630005,2575000,157.203847
8/24/16,159.889999,160.179993,158.320007,159.050003,3645800,157.620069
8/23/16,160.330002,161.339996,160.229996,160.259995,2838100,158.819182
8/22/16,160,160.570007,159.130005,160,2039300,158.561525
8/19/16,160.839996,160.910004,159.520004,160.039993,2815200,158.601159
8/18/16,160.889999,162,160.440002,161.360001,3652000,159.909299
8/17/16,160.970001,161.160004,159.839996,160.440002,3225900,158.997572
8/16/16,161.110001,161.929993,160.690002,160.699997,2210200,159.255229
8/15/16,162.399994,162.970001,161.779999,161.880005,2970400,160.424628
8/12/16,163.190002,163.460007,161.520004,161.949997,2543100,160.493991
8/11/16,162.25,164.949997,162.179993,163.529999,8768600,162.059788
8/10/16,162.190002,162.660004,161.960007,162.080002,2466700,160.622827
8/9/16,162.220001,162.770004,161.649994,161.770004,2737500,160.315616
8/8/16,162.729996,163.270004,161.580002,162.039993,3039300,160.583178
8/5/16,162,163.509995,161.570007,163.5,3812400,160.642641
8/4/16,160.860001,161.699997,160.119995,161.550003,2489100,158.726723
8/3/16,160.130005,160.860001,159.800003,160.669998,2861700,157.862097
8/2/16,161.270004,161.449997,160.360001,160.580002,3080900,157.773673
8/1/16,160.649994,161.649994,159.839996,161.449997,2823600,158.628464
7/29/16,161.360001,161.669998,160.029999,160.619995,3547500,157.812968
7/28/16,161.380005,161.809998,160.710007,161.369995,2340400,158.549861
7/27/16,162.119995,162.570007,161.179993,161.830002,2162700,159.001828
7/26/16,162.649994,163.600006,161.369995,162.119995,2894600,159.286753
7/25/16,162,162.880005,161.75,162.649994,2804600,159.80749
7/22/16,160.779999,162.169998,160.479996,162.070007,2520100,159.237639
7/21/16,160.75,161.850006,159.889999,160.449997,3518900,157.645941
7/20/16,159.970001,161.710007,159.600006,161.360001,4376300,158.540041
7/19/16,161.779999,162.139999,157.889999,159.580002,7120000,156.79115
7/18/16,159.300003,160.75,158.729996,159.860001,6729700,157.066255
7/15/16,159.899994,159.979996,158.5,159.779999,4476800,156.987651
7/14/16,158.809998,161.399994,158.580002,160.279999,4637600,157.478913
7/13/16,157.75,158.339996,157.059998,158.020004,2746400,155.258415
7/12/16,156,157.119995,155.520004,157.039993,3843800,154.295531
7/11/16,154.600006,156.039993,154.5,155.330002,2833700,152.615423
7/8/16,154,154.600006,153.080002,154.460007,3040600,151.760633
7/7/16,152.75,153.690002,151.889999,152.600006,2138400,149.933138
7/6/16,151.850006,152.410004,149.919998,152.369995,2569400,149.707146
7/5/16,151.190002,152,150.759995,151.679993,2465200,149.029203
7/1/16,151.779999,152.970001,151.399994,152.350006,2658300,149.687507
6/30/16,148.860001,151.910004,148.669998,151.779999,3967100,149.127461
6/29/16,146.5,148.479996,146.449997,148.460007,3367700,145.86549
6/28/16,144.779999,145.729996,144.220001,145.699997,3997700,143.153715
6/27/16,146.179993,146.600006,142.5,143.5,5017900,140.992165
6/24/16,149.970001,150.610001,146.179993,146.589996,9082800,144.02816
6/23/16,153.449997,155.479996,152.600006,155.350006,3969400,152.635078
6/22/16,153.75,154.710007,152.270004,152.919998,2833700,150.247538
6/21/16,154.160004,154.570007,153.690002,154.050003,2760300,151.357794
6/20/16,152.600006,154.669998,152.520004,153.610001,3572100,150.925481
6/17/16,150.960007,152.720001,150.600006,151.990005,4663900,149.333798
6/16/16,150.190002,151.289993,149,151.059998,2449100,148.420043
6/15/16,151.460007,151.789993,150.600006,150.679993,2260400,148.046679
6/14/16,151.279999,151.789993,150.399994,151.059998,2865800,148.420043
6/13/16,151.630005,152.5,150.279999,151.279999,3610400,148.636199
6/10/16,152.789993,153.330002,151.860001,152.369995,3120600,149.707146
6/9/16,152.919998,153.759995,152.729996,153.419998,2021800,150.738799
